job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL
100626018328,Walk-in || Data Analyst/AI-ML,Codepanda Academy,N/A,"Noida, New Delhi, Gurugram","Any Graduate, Candidate with gap years can also applyPreferred candidate profile",1 week ago,"Data Science, Artificial Intelligence, Data Analysis, Aiml, Data Analytics, Machine Learning, Intelligence, Analytics",https://www.naukri.com/job-listings-data-analyst-ai-ml-codepanda-academy-noida-new-delhi-gurugram-1-to-6-years-100626018328
150626029093,Data Analyst,CGI,4-9 Yrs,Hybrid - Hyderabad,Role & responsibilities  our future duties and responsibilities * Write advanced SQL an...,6 days ago,"Data Analytics, ETL, Python, Data, Analytics, Data analysis",https://www.naukri.com/job-listings-data-analyst-cgi-hyderabad-4-to-9-years-150626029093
210626003464,Data Analyst (Pune ),Tata Consultancy Services,8-12 Yrs,Pune,Notice Period: 0 to 30 / 45 days (or) Immediate Joiners are also preferred. Required Sk...,Today,"Data Analyst, Python, SQL, Data analysis, Data",https://www.naukri.com/job-listings-data-analyst-pune-tata-consultancy-services-pune-8-to-12-years-210626003464
190626014921,Data Analyst,Embarkgcc Services,2-6 Yrs,Bengaluru,"Role & responsibilities Data Analyst (SQL & Python)Location: Embassy TechVillage, Benga...",2 days ago,"Data Analytics, Python, SQL, Pyspark, Data analysis, Analytics, Data",https://www.naukri.com/job-listings-data-analyst-embarkgcc-services-bengaluru-2-to-6-years-190626014921
190626500652,Data Analyst,Knowledge Park,2-7 Yrs,"Mumbai, Mumbai Suburban",. M Tech (Data Science) / M Sc (Statistics) / MBA (Business Analytics) or equivalent fr...,2 days ago,"Automation, Business analytics, Analytical, Data collection, power bi, Senior Business Analyst, Data Analyst, Data analytics",https://www.naukri.com/job-listings-data-analyst-knowledge-park-pvt-ltd-mumbai-mumbai-suburban-2-to-7-years-190626500652
160626023201,Data Analyst,Akal Information Systems,2-6 Yrs,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",Job Description Data AnalystPosition: Data AnalystExperience: 2-6 YearsLocation: Delhi...,5 days ago,"Data Analytics, Power Bi, Data Analysis, SQL, Analytics, Analysis, Data, Bi",https://www.naukri.com/job-listings-data-analyst-akal-information-systems-bengaluru-delhi-ncr-mumbai-all-areas-2-to-6-years-160626023201
180626033335,Online Data Analyst Gujarati (IN),TELUS Digital,0-5 Yrs,Remote,This freelance opportunity allows you to work at your own pace and from the comfort of ...,3 days ago,"Gujarati, Data Research, Online Data Analysis, Data Evaluation, Data, Evaluation, Data analysis, Research",https://www.naukri.com/job-listings-online-data-analyst-in-telus-digital-india-0-to-5-years-180626033335
190626024889,Data Analyst,Motivity Labs,5-10 Yrs,Hyderabad,Requirements: . 25 years of relevant experienceExperience: 5+ Years Hands-on experience...,2 days ago,"Bi, Data Visualization, SQL Queries, Data Analytics, SQL, Power Bi, Bi Tools, Dashboards",https://www.naukri.com/job-listings-data-analyst-motivity-labs-hyderabad-5-to-10-years-190626024889
120626011886,Data Analyst,Careernet,5-8 Yrs,Hybrid - Hyderabad,"Write and maintain data rules, validation checks, business logic, and quality threshold...",1 week ago,"Data Management, MySQL, Data Analyst, Data Analytics, Data Governance, Data analysis, Governance, Analytics",https://www.naukri.com/job-listings-data-analyst-careernet-hyderabad-5-to-8-years-120626011886
180626018896,Data Analyst - MDM,Crescendo Global,4-6 Yrs,Hybrid - Bengaluru,Requirement  Senior Analyst Shift Timings - 12.00pm to 9.30pm or 2.00 PM to 11.30 PMLo...,3 days ago,"Metadata Management, Reconciliation, Data Analytics, Master Data Management Operations, SQL, MDM, Master Data Management, Data",https://www.naukri.com/job-listings-data-analyst-mdm-crescendo-global-leadership-hiring-india-bengaluru-4-to-6-years-180626018896
170626032019,Data Analyst,Intelizign Lifecycle Services,5-7 Yrs,Pune,Role & responsibilities  Experience: 5 YrsWork Location: PuneProfile / Responsibilities...,4 days ago,"Power Bi, Data Analysis, Python, SAP Datasphere, Data Engineering, Microsoft Power BI, Power Apps, Tableau",https://www.naukri.com/job-listings-data-analyst-intelizign-lifecycle-services-pune-5-to-7-years-170626032019
170626010825,Data Analyst,Simply Vyapar Apps,0 Yrs,Bengaluru,Ensure high-quality data management practices are followed throughout the project lifec...,4 days ago,"SQL, Tableau, Python, Data analysis, Data",https://www.naukri.com/job-listings-data-analyst-simply-vyapar-apps-bengaluru-0-to-0-years-170626010825
240226012829,Data Analyst,Jewelex India,1-3 Yrs,Mumbai (All Areas),Basic to Intermediate Python. Strong analytical and problem-solving skills. Good commun...,5 days ago,"Data Analytics, Power Bi, KPI, Data Analysis, Advanced Excel, Analytics, SQL, Python",https://www.naukri.com/job-listings-data-analyst-jewelex-india-mumbai-all-areas-1-to-3-years-240226012829
190626016702,DATA Analysts - MNC BULK HIRE-Complete WFH Available-MAX 35 LPA,Confidential Firm,7-12 Yrs,Remote,Shift : 2PM to 11PM PF Mandatory Must Haves: ATLEAST 7+ YEARS OF EXPERIENCE,2 days ago,"AZURE, Power Bi, Data Analytics, SQL, Advanced Analytics, Microsoft Azure, Data analysis, Bulk",https://www.naukri.com/job-listings-data-analysts-mnc-bulk-hire-complete-wfh-available-max-35-lpa-axycube-solutions-bengaluru-7-to-12-years-190626016702
100626024240,Data Analyst,Moder Solutions,1-6 Yrs,Bengaluru,Role & responsibilities Data AnalystData ExtractionData ValidationPower BISQLAdvance Ex...,1 week ago,"Data Analytics, Data Validation, Power Bi, Data Visualization, Data Extraction, SQL, Data analysis, Analytics",https://www.naukri.com/job-listings-data-analyst-moder-solutions-bengaluru-1-to-6-years-100626024240
