job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL,source,date_scraped
"Data Analyst - Power BI, SQL_N","Data Analyst - Power BI, SQL",Northern Trust,4 - 6 Years,"Pune, India","Job Description
             About Northern TrustAs a global leader in innovative wealth management, asset servicing, asset management and banking services, Northern Trust (Nasdaq: NTRS) is proud to guide the world's most successful individuals, families, corporations and institutions.Since 1889, we have aligned our efforts with our three guiding Principles That Endure: Service, Expertise, and Integrity. Together, they reflect the three cornerstones of business conduct which we strive to instill",Posted a day ago,"full stack technology solutions, Incorta, Power Bi, Ms Sqlserver",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Business Intelligence Data Ana,Business Intelligence Data Analyst II,Advarra,2 - 4 Years,"Bengaluru, India","Job Description
             Job Duties & ResponsibilitiesUnderstand and optimize data structure to drive consistent data capture and reporting Lead situations where new data modeling is required to support the business Follow best practice as defined by Data Engineering to support Business Intelligence needs Drive collaboration with identification of required individuals necessary for identified resolutions Work with Business and Product Management team to ensure appropriate requirements are ca",Posted 2 days ago,"dbt, snowflake, Github, Databricks, Json, Excel, HTML, Python, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst-Tableu_zorba ai,Data Analyst-Tableu,zorba ai,5 - 7 Years,"Pune, India","Job Description
             Skillset: Data AnalystExp: 5+ YrsLocation : PAN IndiaSQL DDL and DML skills on structured and non-structured data base Python- Coding for data parsing, manipulation, aggregation and insight generation Good working knowledge of Statistics and sample methodologies Dashboard design and development in TableauProblem Solving Understanding the Problem Data Cleaning and Preparation Data Interpretation Data Visualization Basics of DS / ML Good working knowledge of Advanced A",Posted a day ago,"Data Cleaning and Preparation, Data Interpretation, Statistics, Data Engineering Fundamentals, SQL DDL and DML, High Performance Code, Unit Testing, Version Control, Tableau, Cloud Computing, Advanced Analytics, Data Visualization, Python",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Factspan - MDM Data Analyst - ,Factspan - MDM Data Analyst - SQL,Factspan,6 - 11 Years,"Bengaluru, India","Job Description
             Job DescriptionWe are seeking a highly skilled and detail-oriented MDM Data Analyst to support enterprise-wide Master Data Management initiatives. The ideal candidate will possess strong expertise in MDM concepts, data analysis, migration validation, data quality, and large-scale data transformation using modern data engineering tools and platforms.The role involves working closely with business, engineering, and data governance teams to ensure accurate, consistent, ",Posted a day ago,"Reltio, Master Data Management, Data Validation, Informatica Mdm, Pyspark, Databricks, Python, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst 2_JLL,Data Analyst 2,JLL,3 - 5 Years,"Bengaluru, India","Job Description
             Enterprise AnalyticsWhat This Job InvolvesJLL Technologies Enterprise Analytics is an internal consulting team that provides data-driven expertise to various business lines and support functions. As an analyst in the Enterprise Analytics Team, you will architect scalable data solutions and deliver actionable insights in an AI-augmented environment. You will design semantic data layers, build analytical infrastructure, and leverage AI tools to accelerate delivery whil",Posted a day ago,"Gcp, Power Bi, Tableau, Data Modeling, Azure, Python, Sql, AWS, ELT, Etl, Statistical Analysis",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Master Data Analyst_Vestas,Master Data Analyst,Vestas,4 - 7 Years,"Chennai, India","Job Description
             Vestas has a prominent position in wind technology and a Defining-force in the development of the wind power industry. Vestas core business comprises of Development, Manufacturing, Sales, Marketing and Service of Wind Turbines. Come and Join us at Vestas!Vestas Technology & Operations > Supply Chain > Performance ManagementAt Vestas, VTO - Supply chain, we are constantly optimizing the service supply chain in order to deliver on time to our customers, and at the same",Posted 2 days ago,"Master Data Governance Management, Delivery Performance Improvement, S 4 Hana, Process Improvements, Inventory Planning Optimization, Lean Initiatives, Ms Excel, Sap Mm",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Deputy Manager - Data Analyst ,Deputy Manager - Data Analyst (Finance),One 97,2 - 4 Years,"Gurugram, Gurugram, Noida, India","Job Description
             Job Title: Data Analyst (Finance) Location: Noida / GurgaonAbout the Role: We are looking for a Data Analyst with prior experience in a Finance team to help analyze financial data, track payments performance, and automate daily reporting. You will work closely with Finance, FP&A, and Product teams to drive data-backed financial decisions. Key Responsibilities:  . Dashboards & Reporting: Create and maintain Power BI/Tableau dashboards to track financial metrics like r",Posted 2 days ago,"Power Bi, Tableau, Excel, Python, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Reference Data Analyst_Jpmorga,Reference Data Analyst,Jpmorgan & Co,3 - 5 Years,"Bengaluru, India","Job Description
             Job DescriptionMake your mark in Digital Document Services—use your documentation and operations expertise to strengthen controls, reporting, and continuous improvement.As a Reference Data Analyst in Digital Document Services, you review legal agreements and capture economic and non-economic terms accurately in firm systems. You manage business metrics, drive strategic projects, and advance a culture of continuous improvement across back office, middle office, and gl",Posted a day ago,"investment banking processes, Management Reporting, external reporting, Microsoft Powerpoint, knowledge of a global bank operational environment, Microsoft Project, Microsoft Word, Microsoft Access, Microsoft Excel, Microsoft Outlook",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
"Master Data Analyst_spx flow, ",Master Data Analyst,"spx flow, inc.",2 - 4 Years,"Bengaluru, India","Job Description
             Job Title: Master Data AnalystAccountabilitySPX FLOW is a global multi-industry manufacturing leader with approximately $2.1 billion in annual revenue, operations in more than 35 countries and close to 7,000 employees. The company's highly-specialized, engineered products and innovative technologies are helping to meet rising global demand for electricity and processed foods and beverages, particularly in emerging markets. The Global Data Analytics and Data Governanc",Posted 2 days ago,"De-Duplication, winshuttle, Inactivity analysis, Mass uploads, Bulk data uploads, Data Analysis, Data Enrichment, Ms Excel, SAP, Data Cleansing, Lsmw, Profisee",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Reference Data Analyst_JP Morg,Reference Data Analyst,JP Morgan Chase & Co.,3 - 5 Years,Bengaluru,"Job Description
             Make your mark in Digital Document Servicesâ€use your documentation and operations expertise to strengthen controls, reporting, and continuous improvement.As a Reference Data Analyst in Digital Document Services, you review legal agreements and capture economic and non-economic terms accurately in firm systems. You manage business metrics, drive strategic projects, and advance a culture of continuous improvement across back office, middle office, and global teams. Yo",Posted 2 days ago,"investment banking processes, Management Reporting, external reporting, Microsoft Powerpoint, knowledge of a global bank operational environment, Microsoft Project, Microsoft Word, Microsoft Access, Microsoft Excel, Microsoft Outlook",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
